Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Ylä-malmi,70.5,162000,2298,1980,0,3,E2016,3,1,3,3
Meri-rastila,73.5,180000,2449,1991,0,2,,3,0,1,3
Katajanokka,102.0,740000,7255,1902,1,1,,3,0,5,6
Etu-töölö,63.0,485000,7698,1926,1,1,F2013,2,0,1,6
Kruununhaka,73.0,517000,7082,1950,0,2,,3,0,3,5
Kontula,73.5,125000,1701,1967,1,1,E2007,3,0,3,7
Arabianranta,113.0,530000,4690,2008,1,1,C2007,3,0,4,6
Aurinkolahti,71.5,335000,4685,2012,1,1,D2018,3,1,2,6
Lassila,58.5,220000,3761,1983,0,2,E2018,3,0,1,3
Aurinkolahti,66.5,320000,4812,2008,1,1,B2007,3,1,3,6
Roihuvuori,69.0,223000,3232,1959,0,2,F2013,3,0,4,4
Myllypuro,74.0,155000,2095,1977,0,2,D2007,3,1,2,3
Pohjois-haaga,74.5,169000,2268,1972,1,3,E2018,3,1,1,6
Kontula,73.0,116500,1596,1966,1,2,G2013,3,0,5,5
Laajasalo,71.2,167000,2346,1970,1,2,E2013,3,0,2,5
Siltamäki,80.5,170000,2112,1970,0,1,F2013,3,0,1,3
Jätkäsaari,52.0,319800,6150,2021,1,1,B2018,3,0,5,7
Lauttasaari,54.0,339000,6278,1957,1,2,,3,0,2,4
Laajasalo (hevossalmi),58.5,192000,3282,1990,0,2,,3,0,2,3
Lauttasaari,63.0,387000,6143,1963,0,2,C,3,1,1,3
Lauttasaari,64.0,317000,4953,1939,1,2,,3,0,1,5
Kamppi,72.0,740000,10278,2005,1,1,D2007,3,1,7,9
Arabianranta,80.5,475000,5901,2005,1,1,E2007,3,1,5,6
Maunula,62.5,236000,3776,1962,0,1,E2007,3,0,2,4
Viikki,66.0,290000,4394,2014,1,1,C2018,3,1,3,4
Kontula,74.5,130000,1745,1967,0,2,,3,0,4,4
Aurinkolahti,84.0,338000,4024,2006,1,1,D,3,1,3,3
Kallio,47.0,310000,6596,1960,1,1,D2007,3,0,3,7
Lauttasaari,99.0,825000,8333,2013,1,1,C2018,3,1,3,6
Pajamäki,74.0,330000,4459,1959,1,1,F2013,3,1,1,8
Jätkäsaari,69.5,350975,5050,2021,1,1,B2018,3,0,2,5
Viikki,74.5,310000,4161,2001,1,1,C,3,1,2,4
Laajasalo,67.0,181000,2701,1976,0,2,,3,1,3,5
Etelä-haaga,69.8,368000,5272,1962,1,2,E2018,3,0,4,4
Munkkiniemi,76.0,479000,6303,1938,0,1,,3,0,2,6
Herttoniemi,59.0,295000,5000,1955,0,2,F2013,3,0,1,2
Laajasalo,70.5,204500,2901,1979,0,1,,3,0,4,4
Lauttasaari,64.5,323000,5008,1973,1,1,E2007,3,0,4,6
Munkkiniemi,66.0,390000,5909,1959,1,2,E2007,3,0,1,4
Niemenmäki,66.5,303000,4556,1962,1,1,G2013,3,1,8,8
Alppiharju,74.9,472000,6302,1925,1,1,G2013,3,0,4,6
Etelä-haaga,84.0,345000,4107,1957,0,1,E2013,3,0,3,4
Vuosaari,68.7,195000,2838,1964,0,1,,3,0,2,5
Niemenmäki,80.0,380000,4750,1962,0,1,,3,0,4,7
Herttoniemenranta,83.5,285000,3413,1998,1,2,F2018,3,1,4,6
Katajanokka,105.5,817000,7744,2007,0,1,,3,1,5,6
Taka-töölö,71.5,411000,5748,1939,1,2,F,3,0,6,6
Kruununhaka,158.0,1335000,8449,1887,0,1,,3,0,5,5
Pihlajamäki,71.0,159809,2251,1977,1,2,E2007,3,0,2,5
Kaartinkaupunki,96.0,744000,7750,1907,0,1,,3,0,2,6
Pihlajisto,71.0,163000,2296,1974,1,2,D2007,3,0,2,3
Pihlajisto,74.5,165000,2215,1971,1,2,E2007,3,0,6,7
Eira,74.8,785400,10500,1910,0,1,F2013,3,0,4,4
Punavuori,89.5,520000,5810,1927,1,3,F2013,3,0,3,5
Itäkeskus,69.5,210000,3022,1984,0,1,,3,0,2,4
Etelä-haaga,50.5,291000,5762,1958,0,2,D2018,3,0,3,4
Vallila,72.5,412000,5683,2018,1,1,C,3,1,1,5
Mellunmäki,73.0,167000,2288,1974,0,1,D2007,3,0,1,3
Kamppi,74.7,487000,6519,1908,0,2,,3,0,4,5
"Pitäjänmäki, reimarla",78.0,215000,2756,1974,0,2,,3,0,3,3
Taka-töölö,83.0,720000,8675,1912,1,1,F2013,3,1,6,6
Vallila,56.0,270000,4821,1938,0,1,,3,0,1,3
Kannelmäki,65.0,261000,4015,1964,1,1,D2013,3,0,4,4
Näkinpuisto,69.5,413000,5942,1989,1,1,,3,0,6,7
Vuosaari,70.0,206000,2943,1967,0,1,,3,1,1,3
Kalasatama,79.0,470000,5949,2013,1,2,C2013,3,1,2,6
"Kamppi, hietalahti",109.5,810000,7397,1927,0,2,,2,0,5,7
Ullanlinna,131.0,995600,7600,1901,0,1,G2015,3,0,1,4
Herttoniemi,45.0,254000,5644,1957,0,1,F2007,3,0,1,2
Etelä-haaga,63.0,335000,5317,1960,0,1,F2018,3,0,2,3
Kontula,67.0,170000,2537,1971,0,2,,3,0,5,9
Länsi-pasila,98.5,619000,6284,2013,1,1,A2007,3,1,5,5
Kruununhaka,112.5,870000,7733,1869,0,1,,3,1,4,4
Lauttasaari,67.0,402000,6000,1960,0,1,,3,0,3,4
Haaga,74.0,300000,4054,2005,0,1,,3,0,2,4
Kulosaari,60.0,333500,5558,1960,0,1,E2007,3,0,1,4
Kontula,68.0,128000,1882,1975,0,2,E,3,0,2,2
Kannelmäki,68.0,240000,3529,1960,1,1,D2007,3,0,1,4
Aurinkolahti,85.0,349000,4106,2004,1,1,E2007,3,0,1,3
Alppila,59.0,330001,5593,1960,1,1,,3,0,4,8
"Tapaninkylä, malmi",64.5,220000,3411,1984,0,1,,3,1,1,2
Kivikko,72.5,227000,3131,2004,1,1,F2013,3,1,3,4
Kulosaari,75.0,359000,4787,1961,0,2,,3,1,1,4
Etelä-haaga,76.0,386000,5079,1958,0,1,,3,0,2,4
Pitäjänmäki,77.0,178000,2312,1977,0,2,,3,1,2,3
"Pohjois-haaga, haaga",62.0,284700,4592,1957,0,1,,3,0,2,3
Laajasalo,69.0,245000,3551,1974,0,1,E2007,3,1,3,3
Pukinmäki,62.0,199000,3210,1981,0,1,,3,1,3,3
Munkkivuori,64.0,308000,4813,1957,1,1,G2007,3,0,10,10
Puotila,66.0,240000,3636,1961,0,1,E2007,3,0,2,3
Myllypuro,69.5,144000,2072,1965,1,2,D,3,0,2,4
Maunula,72.0,243000,3375,1963,0,1,,3,0,1,4
Suurmetsä,80.0,126000,1575,1974,0,2,,3,0,2,3
Pikku huopalahti,82.0,367000,4476,1992,0,1,,3,1,1,3
Viikinmäki,84.0,459000,5464,2011,1,1,,3,1,2,4
Viikki,62.5,295000,4720,2001,1,1,,3,1,1,4
Munkkivuori,67.5,315000,4667,1957,1,1,D2007,3,0,3,3
Alppila,69.0,395000,5725,1962,1,2,E2007,3,0,4,7
Lauttasaari,48.5,400000,8247,2019,0,1,,3,1,3,8
Pihlajamäki,69.5,184000,2647,1987,0,1,,3,0,3,3
Kivihaka,69.0,280000,4058,1962,0,2,,3,1,1,4
Kallio,47.0,330000,7021,1960,1,2,,3,0,4,7
Käpylä,52.0,275000,5288,1940,0,1,G2013,3,0,1,3
Savela,57.5,207000,3600,1986,0,1,E,3,0,3,3
Kruununhaka,60.0,405000,6750,1904,1,1,D2007,3,0,1,6
Vallila,61.0,389000,6377,2013,1,1,C2018,3,1,2,7
Meilahti,63.7,385000,6044,1951,1,2,E,3,0,6,8
Lauttasaari,66.0,380000,5758,1962,0,1,,2,0,2,2
Laajasalo,69.5,205000,2950,1972,1,2,E2007,3,1,1,3
Taka-töölö,74.0,480000,6486,1936,1,1,,3,0,1,6
Itä-pasila,83.5,310000,3713,1974,1,1,G2013,3,1,5,8
Aurinkolahti,94.5,515000,5450,2012,1,1,B,3,1,5,6
Etelä-haaga,63.0,315000,5000,1961,0,1,,3,1,3,3
Ullanlinna,66.0,430000,6515,1929,1,1,F2013,3,0,4,6
Kontula,67.0,143000,2134,1967,0,3,E2007,3,0,3,3
Pihlajamäki,69.5,188500,2712,1987,0,1,E,3,0,2,3
Tapaninvainio,72.5,145000,2000,1979,0,2,F2013,3,1,1,3
Taka-töölö,74.0,485750,6564,1935,0,2,D2007,3,0,2,3
Punavuori,78.0,556000,7128,1931,1,2,D2018,3,0,2,7
Pohjois-haaga,63.0,295000,4683,1955,1,1,F2013,3,0,4,4
Lauttasaari,73.0,520000,7123,2012,1,1,D2013,3,1,3,8
Malmi,82.5,248000,3006,1985,0,1,F2007,3,1,2,3
Malminkartano,65.5,285000,4351,2015,1,1,C2013,3,0,3,4
Lauttasaari,80.0,525000,6563,2000,1,2,E2007,3,1,1,4
Kruununhaka,120.0,760000,6333,1929,1,2,E2013,3,0,7,8
Munkkivuori,63.0,310000,4921,1958,0,2,G2007,3,0,2,4
Kontula,68.5,174000,2540,1965,0,1,G,3,0,2,3
Pukinmäki,70.5,189526,2688,1982,1,2,F,3,0,2,3
Arabianranta,74.0,437500,5912,2001,1,1,F2013,3,1,2,7
Etelä-haaga,65.0,308000,4738,1962,1,2,F2018,3,1,1,4
Malmi,74.0,187000,2527,1980,1,2,D2007,3,0,1,5
Etelä-haaga,61.4,323000,5261,1959,0,2,F2018,3,0,3,3
Oulunkylä,62.0,205000,3306,1962,0,1,E2007,3,0,1,3
Etelä-haaga,67.5,351000,5200,1959,0,1,D2007,3,0,3,4
Kontula,73.0,130000,1781,1967,0,2,G2013,3,1,3,3
Etu-töölö,99.5,710000,7136,1928,1,1,F2013,3,0,2,6
Myllypuro,63.5,210000,3307,1966,1,1,F2013,3,0,3,7
"Lassila, pohjois-haaga",69.0,278000,4029,1986,0,1,,3,0,2,2
Länsi-pasila,70.0,412000,5886,2013,1,1,A2013,3,1,1,5
Malminkartano,80.0,187000,2338,1990,0,1,,3,1,2,2
Punavuori,92.5,798000,8627,2012,1,1,E2003,3,1,4,7
Meilahti,96.0,520000,5417,1942,1,1,F2013,3,0,5,6
Etu-töölö,66.3,474000,7149,1911,0,1,E2018,3,0,2,5
Lauttasaari,75.5,537000,7113,2001,0,1,,3,1,3,4
Alppila,69.0,405000,5870,1962,1,1,E2007,3,0,2,8
Malminkartano,74.5,165000,2215,1991,0,1,,3,0,2,3
Jätkäsaari,79.0,424625,5375,2019,1,1,B2018,3,1,3,7
Taka-töölö,100.0,695000,6950,1950,1,1,E2018,3,0,5,6
Lauttasaari,68.5,490000,7153,2017,1,1,C2013,3,0,5,6
Näkinpuisto,78.5,395000,5032,1983,1,3,,3,0,5,7
Munkkivuori,65.7,320000,4871,1957,0,1,E2007,3,1,2,4
Tapanila,68.0,143000,2103,1972,0,1,F,3,0,1,3
Etu-töölö,78.0,528000,6769,1936,1,2,D2007,3,0,3,6
Pihlajamäki,80.0,198000,2475,1963,1,1,E2007,3,0,2,8
Aurinkolahti,81.0,419000,5173,2013,1,1,A2007,3,1,4,5
Punavuori,82.0,580000,7073,1929,1,2,D2018,3,0,2,5
Taka-töölö,86.0,485000,5640,1938,1,2,D2007,3,0,2,7
Vanhankaupunginkoski,103.0,550000,5340,2007,1,1,D2007,3,1,3,3
Munkkivuori,62.0,240000,3871,1960,0,2,,3,1,2,3
Käpylä,65.0,330000,5077,1923,0,1,D2007,2,0,2,3
Viikki,71.0,330000,4648,2002,1,1,,3,1,5,5
Pihlajamäki,76.0,215000,2829,1987,0,2,F2013,3,1,2,4
Etu-töölö,77.0,463000,6013,1926,1,2,F,3,0,2,6
Puotinharju,74.0,170000,2297,1963,0,2,,3,0,2,3
Konala,75.0,317000,4227,2011,1,1,,3,1,3,5
Etelä-haaga,51.0,227000,4451,1974,0,2,E2007,3,0,1,2
Roihuvuori,58.5,235000,4017,1958,0,1,,3,1,4,4
Lauttasaari,88.0,420000,4773,1970,0,2,,4,0,7,7
Lauttasaari,62.0,398000,6419,1954,1,1,E2007,3,0,2,4
Laajasalo,82.0,250000,3049,1992,1,2,D2013,3,0,3,3
Ullanlinna,54.0,380000,7037,1962,1,1,F2007,3,0,2,6
Laakso,61.6,403000,6542,1951,1,2,,3,0,7,8
Kallio,64.0,370000,5781,1957,1,2,G2013,3,0,3,7
Kannelmäki,68.0,169000,2485,1981,0,2,E,3,1,1,3
Tapanila,69.5,257000,3698,2004,1,1,E,3,0,2,5
Herttoniemi,70.5,341000,4837,1955,0,1,E2013,2,0,3,4
Koskela,71.0,245000,3451,1973,1,1,D2007,3,1,2,6
Herttoniemenranta,85.5,358000,4187,2012,1,1,,3,1,1,5
Aurinkolahti,71.0,353000,4972,2008,1,1,C2007,3,1,7,9
Myllypuro,72.0,180000,2500,1964,1,3,E2007,3,0,7,7
Punavuori,72.0,560000,7778,1984,1,2,F2013,3,1,5,7
Mellunmäki,73.0,176000,2411,1968,0,1,E2007,3,1,3,3
Kamppi,80.5,600000,7453,1907,0,1,D2007,3,0,2,5
Käpylä,51.0,287000,5627,1944,0,1,,3,0,2,4
Toukola,74.5,345000,4631,1984,0,2,D2007,3,0,3,3
Vuosaari,77.0,275000,3571,2000,1,1,F,3,1,4,4
Konepaja,82.0,445000,5427,2016,1,1,C2013,3,0,1,5
Herttoniemi,58.0,274000,4724,1955,1,2,F2007,3,0,2,4
Ullanlinna,65.5,515000,7863,1956,0,1,,3,0,3,5
Taka-töölö,70.0,430200,6146,1936,1,3,G2018,3,0,3,5
Aurinkolahti,82.0,345000,4207,2004,1,1,C2007,3,1,6,7
Lauttasaari,70.5,520000,7376,2012,1,1,D2013,3,1,5,5
Etelä-haaga,72.0,272000,3778,1970,1,2,D2007,3,0,3,4
Taka-töölö,74.0,500000,6757,1935,0,2,D2007,3,0,3,3
Kallio,80.0,510000,6375,2008,1,1,D2007,3,0,5,9
Vallila,67.0,378000,5642,1953,1,1,E2013,3,0,2,7
Kontula,67.0,155500,2321,1967,0,2,,3,0,2,3
Oulunkylä,71.5,240000,3357,1963,0,1,,3,0,3,3
Pohjois-haaga,73.0,316000,4329,1953,0,2,E2013,3,0,2,3
Kivikko,79.5,247000,3107,2003,1,1,D,3,1,3,5
Herttoniemi,60.0,247000,4117,1947,0,2,F2013,2,0,1,2
Vesala,75.0,180000,2400,1991,0,1,E,3,0,1,3
Maunula,76.8,215000,2799,1971,1,2,E2007,3,0,3,4
Ullanlinna,77.1,712000,9235,1907,0,1,F2013,3,0,4,5
Kamppi,82.0,585000,7134,1938,1,1,E2013,3,0,1,4
Katajanokka,83.5,760432,9107,2018,1,1,,3,1,1,7
Kaartinkaupunki,71.5,596000,8336,1911,0,1,,3,0,3,3
Pohjois-haaga,75.0,183000,2440,1972,1,2,E2018,3,0,1,6
Siltamäki,80.5,130000,1615,1969,0,1,G2013,3,0,2,3
Yliskylä,68.0,225000,3309,1974,0,1,E2007,3,0,3,3
Yliskylä,68.5,177000,2584,1973,1,1,E2007,3,0,3,8
Kruununhaka,78.5,492687,6276,1920,1,3,D2007,3,0,2,6
Punavuori,75.0,490511,6540,1927,0,2,,3,0,4,5
Oulunkylä,67.0,218000,3254,1997,1,1,E2007,3,0,4,5
Pohjois-haaga,74.5,195000,2617,1972,1,2,E2018,3,0,5,6
Herttoniemenranta,75.5,368000,4874,2008,1,1,D2013,3,1,3,6
Malmi,73.0,203000,2781,1983,0,2,F2013,3,1,1,3
Munkkiniemi,73.0,497000,6808,1967,1,1,E2007,3,0,5,6
Käpylä,67.0,305000,4552,1950,0,1,G2013,3,0,1,4
Kannelmäki,75.0,190000,2533,1983,0,2,D2007,3,1,1,6
Munkkiniemi,67.0,457000,6821,1962,1,1,D2018,3,0,2,3
Koskela,70.5,175000,2482,1972,1,2,F,3,0,3,6
Lauttasaari,78.5,411845,5246,1974,1,1,E2013,3,0,6,7
Oulunkylä,62.0,218000,3516,1962,0,1,E2007,3,0,1,3
Munkkivuori,64.0,288000,4500,1957,1,1,G2007,3,0,4,10
Etu-töölö,103.0,775000,7524,1922,1,1,G2013,3,0,6,6
Meilahti,79.0,434000,5494,1951,0,2,D2007,3,0,1,4
Puotinharju,67.5,173500,2570,1963,1,2,E2007,3,0,1,8
Ullanlinna,69.0,560000,8116,1936,0,2,,3,0,2,5
Etu-töölö,90.5,651000,7193,1929,1,1,F2013,3,0,5,6
Pihlajamäki,72.0,135000,1875,1963,1,2,F,3,0,6,6
Munkkivuori,63.0,286000,4540,1958,0,2,G2007,3,0,4,4
Tapulikaupunki,65.0,164500,2531,1981,1,1,,3,1,1,5
Mellunmäki,73.5,188000,2558,1981,1,2,E2007,3,1,2,6
Viikki,63.5,267500,4213,2014,1,1,A2007,3,1,3,4
Lauttasaari,63.5,378000,5953,1963,0,2,G2013,3,0,3,3
Konala,68.5,150000,2190,1968,0,2,E2007,3,1,1,3
Katajanokka,70.0,330000,4714,1983,1,3,D2007,3,1,1,5
Pukinmäki,70.5,205500,2915,1982,1,1,F,3,0,1,3
Ullanlinna,71.0,500000,7042,1961,1,2,F2013,3,0,2,7
Lassila,73.5,276000,3755,1981,0,1,D2007,3,1,3,4
Harju,74.5,412000,5530,2000,1,1,,3,1,1,8
Jätkäsaari,77.5,408813,5275,2019,1,1,B2018,3,1,6,7
Kruununhaka,80.5,545000,6770,1911,0,2,D2007,3,0,3,5
Puotinharju,67.8,195000,2876,1965,0,1,G2013,3,1,2,3
Yliskylä,69.0,185000,2681,1972,1,1,F2007,3,1,3,5
Vuosaari,72.0,185000,2569,1980,0,2,F2013,3,0,3,3
Laajasalo,73.0,335000,4589,2009,1,1,C2007,3,1,7,7
Sörnäinen,59.0,330000,5593,1972,1,1,,3,0,1,6
Kruunuvuorenranta,78.0,302100,3873,2016,1,1,C2013,3,0,1,6
Pajamäki,63.0,274000,4349,1958,0,1,E2007,3,1,2,4
Kallio,65.0,314000,4831,1939,1,2,E2013,3,1,3,7
Pihlajamäki,75.5,195000,2583,1983,1,2,F,3,1,2,4
Kalasatama,77.5,363161,4686,2015,1,1,C2013,3,0,6,8
Etelä-haaga,60.0,230000,3833,1964,0,2,,3,0,1,3
Alppila,74.0,427000,5770,1952,0,1,E2013,3,1,3,5
Oulunkylä,79.0,293000,3709,1964,0,1,F2013,3,0,3,3
Puotinharju,58.5,173000,2957,1964,1,1,F,3,0,4,7
Oulunkylä,61.0,203500,3336,1964,0,1,G2013,3,0,2,3
Pohjois-haaga,62.7,235000,3748,1955,1,2,D2018,3,0,3,4
Punavuori,64.0,477000,7453,1963,1,1,F2015,3,0,4,5
Mellunkylä,70.5,235000,3333,2018,0,1,,3,0,1,2
Katajanokka,70.5,415000,5887,1983,1,1,D2007,3,0,2,4
Munkkiniemi,80.0,465000,5813,1936,1,1,,3,0,2,6
Laakso,80.0,472000,5900,1950,1,2,E2007,3,0,3,8
Kontula,76.5,260000,3399,2004,1,1,E,3,1,8,8
Viikki,77.0,355000,4610,2004,1,1,F,3,1,4,6
Herttoniemenranta,77.0,380000,4935,2010,1,1,,3,0,3,7
Siltamäki,80.5,110000,1366,1968,0,3,G,3,0,3,3
Puotila,80.5,260000,3230,2000,1,2,D2007,3,1,4,4
Käpylä,57.0,296500,5202,1946,0,1,G2013,3,0,3,3
Meilahti,66.0,370000,5606,1942,0,2,F2013,2,0,1,3
Malminkartano,80.0,228000,2850,1983,1,1,,3,0,3,5
Etu-töölö,87.0,613000,7046,1922,1,1,G2013,3,0,2,6
Lauttasaari,66.0,312000,4727,1974,1,2,F2013,3,0,5,7
Hakaniemi,105.0,680000,6476,1923,1,1,,3,0,5,6
Lauttasaari,78.0,545000,6987,2010,1,1,E,3,1,3,6
Töölö,60.0,358000,5967,1929,1,2,F2007,2,0,2,6
Kuninkaantammi,62.5,284700,4555,2019,1,1,C2013,3,0,4,4
Ullanlinna,70.0,557500,7964,1928,1,1,G2015,2,0,2,4
Lauttasaari,71.0,392000,5521,1955,1,1,,3,0,4,4
Pihlajisto,74.5,160000,2148,1971,1,1,E2007,3,0,4,7
Lauttasaari,78.5,695000,8854,2017,1,1,C2013,3,0,5,7
Kontula,65.0,120000,1846,1969,1,2,G2013,3,0,9,9
Tapulikaupunki,80.0,156000,1950,1976,0,2,F2013,3,0,1,3
Pukinmäki,66.0,190000,2879,1989,0,2,,3,1,1,2
Lassila,75.5,227500,3013,1982,1,2,C2007,3,0,2,6
Töölö,76.0,485000,6382,1912,0,2,,3,0,2,5
Kulosaari,77.0,340000,4416,1961,1,1,G2014,3,0,2,4
Malminkartano,78.0,190000,2436,1982,1,1,,3,0,5,5
Roihuvuori,74.5,272092,3652,1992,0,1,D2007,3,0,3,3
Myllypuro,61.5,199000,3236,1964,1,1,,3,0,4,8
Kluuvi,74.3,630000,8479,1906,1,2,G2013,3,0,3,6
Herttoniemenranta,78.0,366438,4698,1997,1,2,F2007,3,1,7,9
Munkkiniemi,57.5,330000,5739,1951,1,2,G,3,0,1,6
Pajamäki,65.0,288000,4431,1959,0,1,G,3,0,3,3
Laajasalo,70.5,249600,3540,1965,1,1,E2010,3,0,3,3
Oulunkylä,72.0,239000,3319,1963,0,1,D2007,3,0,1,3
Käpylä,73.0,330000,4521,1951,0,1,E2013,3,0,2,4
Malminkartano,79.0,182000,2304,1989,0,2,,3,1,1,3
Katajanokka,79.5,418000,5258,1981,1,2,D2007,3,0,1,5
Oulunkylä,67.0,205000,3060,1997,1,2,E2007,3,1,3,5
Lauttasaari,75.5,569000,7536,2012,1,1,C2007,3,1,6,8
Ala-malmi,79.5,197000,2478,1986,0,2,E,3,1,2,3
Taka-töölö,93.0,660500,7102,1952,1,1,E2007,3,0,4,8
Kaisaniemi,98.0,615000,6276,1923,1,2,G,3,0,2,7
Kivihaka,68.5,240000,3504,1978,0,2,F2014,3,0,1,3
Länsi-pasila,69.5,445000,6403,2012,1,1,D2013,3,1,3,4
Munkkiniemi,78.5,500000,6369,1939,1,1,E2013,3,0,4,6
Itä-pasila,81.0,302000,3728,1977,1,2,F2013,3,0,7,12
Etu-töölö,107.4,540000,5028,1912,1,3,G2013,3,1,1,5
Kannelmäki,54.0,189000,3500,1960,0,2,E2007,3,0,3,4
Vallila,60.0,306000,5100,1956,0,2,F,3,0,3,3
Alppiharju,67.0,280000,4179,1958,1,1,F2013,3,0,3,8
Hermanni,69.7,329000,4720,1957,0,2,,3,1,6,6
Roihuvuori,71.0,248000,3493,1959,0,1,,3,0,1,4
Vartiokylä,61.5,196000,3187,1964,0,2,,3,1,1,3
Laajasalo,64.0,227000,3547,1965,1,2,E2010,3,0,3,3
Ruskeasuo,67.0,385000,5746,1952,0,3,F2013,3,0,2,3
Puotila,74.5,200000,2685,1961,0,2,D2007,3,0,1,3
Katajanokka,92.5,880000,9514,2018,1,1,,3,1,3,7
Pikku huopalahti,73.5,455000,6190,2005,1,1,F2014,3,1,5,6
Konala,68.0,215000,3162,1960,0,1,,3,0,2,3
Punavuori,69.5,372000,5353,1977,1,3,F2013,3,0,4,6
Aurinkolahti,64.0,280000,4375,2001,1,1,E,3,1,2,6
Pikku-huopalahti,69.5,272926,3927,1990,0,1,F2013,3,0,2,3
Kaivopuisto,108.0,1100000,10185,1954,0,1,,3,0,1,3
Arabia,57.0,305000,5351,1949,0,1,F2018,3,0,2,4
Viikki,70.0,326000,4657,2011,1,1,,3,1,2,4
Lauttasaari,71.0,425000,5986,2000,1,1,F2013,3,1,6,8
Kamppi,73.0,459000,6288,1979,1,1,E2013,3,0,5,7
Etu-töölö,73.4,477000,6499,1926,1,2,,3,0,2,6
Kallio,76.0,415000,5461,1950,1,1,,3,0,1,8
Kulosaari,76.0,448000,5895,1979,1,1,E2007,3,1,4,4
Jätkäsaari,81.0,380000,4691,2019,1,1,B2018,3,1,2,7
Etu-töölö,101.0,560000,5545,1936,1,3,D2007,2,0,2,7
Hermanni,107.0,575000,5374,2009,1,1,,3,1,4,4
Hakaniemi,58.0,355000,6121,1962,1,1,F2013,3,0,3,7
Munkkiniemi,66.0,360000,5455,1959,1,1,G2007,3,0,4,7
Myllypuro,69.0,210000,3043,1965,1,1,,3,1,4,7
Vanha-vuosaari,72.5,191000,2634,1968,1,2,E2007,3,0,1,5
Pitäjänmäki,78.0,189000,2423,1974,1,2,,3,1,1,5
Pajamäki,63.0,224000,3556,1960,0,2,D2007,3,0,3,4
Kannelmäki,61.4,207000,3371,1960,0,1,E2007,3,0,3,3
Malminkartano,78.0,185000,2372,1982,1,2,,3,0,2,4
Eira,78.5,740000,9427,1912,0,1,E2013,3,1,1,4
Kontula,69.0,134000,1942,1966,0,2,D2013,3,0,2,3
Rastila,71.0,166000,2338,1972,1,2,E2007,3,0,6,8
Etu-töölö,81.0,584000,7210,1928,1,2,G2013,3,0,4,7
Puotinharju,67.5,163000,2415,1963,1,2,E2013,3,0,2,8
Munkkiniemi,82.5,330000,4000,1938,1,1,F2018,3,0,4,6
Harju,56.0,305000,5446,1951,1,2,,3,0,2,8
Munkkiniemi,64.0,380000,5938,1941,1,1,,3,0,2,6
Tapulikaupunki,65.0,128000,1969,1976,1,2,E,3,1,4,6
Arabianranta,65.0,404500,6223,2015,1,1,C2007,3,0,1,11
Heikinlaakso,74.5,155000,2081,1980,0,2,D2007,3,0,1,3
Siltamäki,80.5,127000,1578,1968,0,2,F2013,2,0,2,3
Lauttasaari,81.0,462500,5710,1955,1,1,,3,0,4,5
Lauttasaari,98.5,587000,5959,2002,1,1,F2013,3,0,4,8
Merihaka,52.5,261000,4971,1974,1,3,E2018,3,0,3,14
Malminkartano,65.5,288000,4397,2015,1,1,C2013,3,0,3,4
Oulunkylä/patola,79.0,244555,3096,1971,0,2,,3,1,2,3
Tali,96.0,538000,5604,2014,1,1,B2007,3,1,4,7
Katajanokka,106.0,810000,7642,1911,1,1,E2007,3,0,2,6
Lauttasaari,63.5,340000,5354,1975,1,1,F2013,3,0,1,6
Pohjois-haaga,74.3,160000,2153,1973,0,2,E2013,3,0,3,4
Konepaja,75.5,421617,5584,2016,1,1,C2013,3,0,1,5
Myllypuro,84.0,290000,3452,2010,0,1,,3,0,2,5
Maunula,73.2,178000,2432,1972,1,2,,3,0,2,4
Käpylä,73.5,330000,4490,1985,0,1,F,3,1,3,3
Myllypuro,74.0,170000,2297,1977,1,1,D2007,3,1,5,5
Oulunkylä,53.5,256000,4785,1956,0,1,F2013,3,0,4,4
Oulunkylä,62.0,180000,2903,1962,0,3,E2007,3,0,3,3
Kivihaka,69.0,301000,4362,1962,0,1,E2013,3,0,3,4
Malmi,71.0,171983,2422,1985,0,3,F,3,1,1,3
Jätkäsaari,76.5,365000,4771,2019,1,1,B2018,3,1,2,7
Kontula,77.5,172000,2219,1964,1,1,F,3,0,1,7
Etelä-haaga,65.0,325000,5000,1959,0,1,F2007,3,0,1,3
Myllypuro,69.0,208400,3020,1965,1,1,C,3,1,1,5
Laakso,80.0,460000,5750,1950,1,2,E2013,3,0,4,8
Punavuori,97.0,880000,9072,1904,0,2,,3,0,5,5
Ruoholahti,103.0,750000,7282,1995,1,1,D2007,3,1,6,6
Herttoniemi,57.0,317160,5564,2019,1,1,C2018,3,0,6,7
Herttoniemi,57.0,317160,5564,2019,1,1,C2018,3,0,6,7
Kamppi,63.6,323000,5079,1910,0,2,F2007,2,0,1,5
Käpylä,69.0,315000,4565,1952,0,2,G2013,3,0,1,3
Myllypuro,74.0,167500,2264,1965,1,2,F2013,3,0,5,8
Etu-töölö,75.0,455000,6067,1936,1,2,F,2,0,3,7
Katajanokka,97.0,700000,7216,1906,0,1,D2018,3,0,2,5
Roihuvuori,70.0,265800,3797,1955,0,1,E2007,3,0,1,4
Töölö,89.0,630000,7079,1922,0,1,,3,0,5,6
Punavuori,63.0,502000,7968,1909,0,1,G2014,3,0,3,4
Pukinmäki,69.5,216000,3108,1980,1,1,F,3,1,2,3
