Municipality,area,Price,sqft,Year,Elevator,Condition,Energial.,number_of_room,hassauna,floor,total_floor
Kannelmäki,26.5,134000,5057,1962,0,2,G2013,1,0,1,3
Alppila,29.5,213000,7220,1962,1,1,E2007,1,0,5,8
Sörnäinen,30.5,207000,6787,1933,1,1,E2007,1,0,6,7
Ullanlinna,31.5,290000,9206,1965,0,1,E,1,0,1,4
Pajamäki,25.0,142000,5680,1959,0,1,F2013,1,0,1,4
Ullanlinna,28.0,221000,7893,1960,1,1,F2014,1,0,1,5
Pohjois-haaga,32.0,137000,4281,1972,0,3,D2007,1,0,3,6
Punavuori,37.3,246000,6595,1939,0,1,,1,0,3,5
Kallio,21.0,167000,7952,1962,1,1,G2013,1,0,1,6
Munkkivuori,31.0,170000,5484,1957,1,2,,1,1,9,10
Kuninkaantammi,30.0,174000,5800,2018,0,1,C2013,1,1,4,4
Kallio,31.0,190000,6129,1927,1,2,D,1,0,1,5
Tapanila,31.5,135000,4286,1974,0,1,F,1,0,1,3
Kurkimäki,31.8,156000,4906,2019,0,1,C,1,1,1,2
Kurkimäki,31.8,156000,4906,2019,0,1,C,1,1,2,2
Kannelmäki,33.0,145000,4394,1985,1,2,F2007,1,1,2,5
Ullanlinna,53.0,385000,7264,1908,0,1,,1,0,1,4
Kallio,25.0,181000,7240,1962,1,1,,1,0,7,7
Munkkivuori,28.5,190000,6667,1959,1,1,E2007,1,1,4,6
Kamppi,32.3,300000,9288,1929,0,1,,1,0,2,5
Niemenmäki,33.5,164000,4896,1962,1,1,G2013,1,1,4,7
Taka-töölö,21.0,173000,8238,1937,1,2,F2013,1,0,3,6
Punavuori,30.0,231000,7700,1971,1,1,E2007,1,0,2,5
Taka-töölö,31.0,205000,6613,1932,1,1,E2007,1,0,1,7
Kallio,31.5,197000,6254,1961,1,2,F2013,1,0,4,7
Kallio,31.6,228000,7215,1928,1,1,D2013,1,0,5,6
Herttoniemenranta,25.0,184000,7360,2015,1,1,,1,0,4,7
Vallila,28.0,177000,6321,1936,1,2,G2014,1,0,5,6
Ullanlinna,43.0,393000,9140,1907,0,1,F2013,2,0,3,6
Katajanokka,22.0,242100,11005,1911,1,1,D2007,1,0,1,4
Alppila,24.5,165000,6735,1936,0,2,F2013,1,0,1,4
Taka-töölö,24.5,197000,8041,1937,1,2,D2007,1,0,3,6
Kallio,40.0,248000,6200,1927,1,1,,1,0,3,6
Pihlajamäki,24.5,93000,3796,1963,0,3,F,1,0,2,4
Torkkelinmäki,31.0,262500,8468,1929,0,1,E2007,1,0,3,4
Kallio,34.0,215000,6324,1936,1,1,,1,0,4,6
Kallio,26.5,152000,5736,1958,1,2,G2013,1,0,6,7
Alppila,36.0,256000,7111,1928,1,1,E2007,1,0,7,7
Kallio,43.0,261000,6070,1938,0,2,,1,0,3,6
Vallila,41.0,261000,6366,1925,0,1,,1,0,1,2
Töölö,25.5,206000,8078,1975,1,2,,1,1,1,7
Kallio,28.0,195000,6964,1970,1,1,D2007,1,0,5,6
Vallila,28.0,175000,6250,1946,0,2,D2007,1,0,1,4
Sörnäinen,32.0,205000,6406,1929,1,2,F2013,1,0,3,7
Kallio,45.5,280000,6154,1936,1,1,E2013,1,0,5,8
Punavuori,34.0,206900,6085,1938,0,2,,1,0,1,5
Kallio,47.3,295000,6237,1911,1,2,G2013,1,0,4,6
Kallio,29.0,147500,5086,1936,1,2,,1,0,4,6
Torkkelinmäki,25.0,221500,8860,1927,0,1,E2018,1,1,2,4
Harju,37.5,240000,6400,1927,1,2,,1,0,6,7
Taka-töölö,44.0,324000,7364,1928,1,2,E2013,1,0,6,7
Kallio,32.0,200000,6250,1929,1,2,D2007,1,0,4,6
Alppila,26.0,177000,6808,1961,1,2,,1,0,7,8
Hermanni,28.5,178000,6246,1960,0,2,,1,0,2,4
Etelä-haaga,29.5,186000,6305,1958,0,2,D2007,1,0,3,4
Herttoniemi,32.0,189930,5935,2019,1,1,C2018,1,0,1,7
Kulosaari,32.0,200000,6250,1960,1,1,B2007,1,0,3,4
Punavuori,32.5,270000,8308,1963,1,2,F2015,1,0,3,5
Ruskeasuo,35.0,190000,5429,1956,0,2,E2007,1,0,1,3
Alppiharju,39.5,264000,6684,1926,1,1,E2013,1,0,4,6
Kallio,40.0,258000,6450,1928,1,1,,1,0,2,7
Vallila,44.8,195000,4353,1926,1,2,G2013,1,0,5,5
